"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","Extroversion","Neuroticism","Agreeableness","Conscientiousness","openness"
17,"Unanswered","US",4,3,3,5,5,5,5,4,3,4,4,4,1,4,2,0.67,1,0.8,0.8,0.47
17,"Unanswered","US",2,2,2,3,4,3,3,4,3,4,5,2,4,4,5,0.4,0.67,0.67,0.73,0.87
60,"Unanswered","US",3,5,5,2,5,4,5,5,5,5,5,5,4,5,5,0.87,0.73,1,1,0.93
27,"Unanswered","CA",1,4,3,4,5,5,5,5,5,5,4,4,5,5,2,0.53,0.93,1,0.87,0.8
19,"Unanswered","US",4,4,5,5,4,3,4,4,4,5,3,5,4,4,5,0.87,0.8,0.8,0.87,0.87
20,"Female","US",1,2,2,3,3,2,3,2,3,3,4,2,5,3,3,0.33,0.53,0.53,0.6,0.73
19,"Female","IN",2,5,5,1,2,1,5,4,5,5,5,5,3,5,4,0.8,0.27,0.93,1,0.8
26,"Unanswered","US",1,1,1,5,5,5,3,4,3,1,2,3,5,2,4,0.2,1,0.67,0.4,0.73
24,"Female","MX",1,3,4,4,5,4,3,4,2,4,4,2,5,5,5,0.53,0.87,0.6,0.67,1
19,"Unanswered","US",1,2,1,5,5,4,4,5,2,4,5,4,4,4,4,0.27,0.93,0.73,0.87,0.8
18,"Unanswered","GB",2,2,2,5,5,5,2,2,3,1,3,2,5,4,5,0.4,1,0.47,0.4,0.93
14,"Unanswered","US",2,2,4,4,4,5,4,2,2,2,5,2,4,3,5,0.53,0.87,0.53,0.6,0.8
25,"Unanswered","IN",2,4,4,5,2,2,5,5,5,5,4,4,1,4,4,0.67,0.6,1,0.87,0.6
47,"Female","US",4,3,2,4,4,3,5,2,3,5,4,4,4,4,5,0.6,0.73,0.67,0.87,0.87
18,"Female","US",2,2,2,4,4,4,2,4,3,3,3,2,4,4,3,0.4,0.8,0.6,0.53,0.73
23,"Female","SE",2,4,2,5,5,5,4,2,3,4,5,5,5,3,4,0.53,1,0.6,0.93,0.8
14,"Other","GB",2,2,2,5,4,3,4,3,2,2,3,2,3,4,2,0.4,0.8,0.6,0.47,0.6
20,"Unanswered","US",1,2,1,5,5,4,5,5,3,4,2,4,5,5,4,0.27,0.93,0.87,0.67,0.93
35,"Unanswered","US",4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,0.93,1,1,0.8,1
34,"Unanswered","US",4,4,5,2,4,3,5,5,4,4,4,4,4,3,3,0.87,0.6,0.93,0.8,0.67
36,"Unanswered","JO",5,5,5,5,5,5,5,5,5,4,5,2,5,2,3,1,1,1,0.73,0.67
15,"Female","US",3,3,2,4,4,4,4,4,2,3,4,2,5,2,4,0.53,0.8,0.67,0.6,0.73
20,"Female","US",4,4,4,1,2,2,5,5,4,4,5,3,3,4,4,0.8,0.33,0.93,0.8,0.73
54,"Unanswered","CA",2,4,2,3,3,1,3,3,5,4,5,4,5,4,5,0.53,0.47,0.73,0.87,0.93
47,"Female","US",2,5,4,3,4,2,4,5,4,2,3,2,4,5,4,0.73,0.6,0.87,0.47,0.87
17,"Female","IN",3,4,3,5,5,5,5,5,5,3,5,3,5,3,3,0.67,1,1,0.73,0.73
45,"Female","US",4,4,3,2,4,2,3,5,5,4,5,5,4,5,3,0.73,0.53,0.87,0.93,0.8
32,"Unanswered","US",2,5,4,5,5,4,4,4,2,4,5,5,2,4,2,0.73,0.93,0.67,0.93,0.53
23,"Unanswered","NO",3,5,5,3,4,3,5,5,4,2,4,1,4,4,3,0.87,0.67,0.93,0.47,0.73
23,"Unanswered","US",4,4,4,4,5,2,5,5,5,3,4,3,4,4,4,0.8,0.73,1,0.67,0.8
14,"Unanswered","US",1,2,4,5,5,5,3,5,3,4,3,5,5,4,5,0.47,1,0.73,0.8,0.93
19,"Female","IE",5,2,2,4,5,3,4,5,3,3,3,2,5,5,4,0.6,0.8,0.8,0.53,0.93
15,"Unanswered","NZ",1,2,3,5,5,5,5,5,3,3,3,3,4,3,3,0.4,1,0.87,0.6,0.67
49,"Unanswered","FI",3,4,5,4,4,2,4,4,4,2,3,2,4,5,4,0.8,0.67,0.8,0.47,0.87
47,"Unanswered","US",1,2,1,5,3,4,4,4,5,3,5,3,5,5,5,0.27,0.8,0.87,0.73,1
23,"Unanswered","BE",3,4,4,5,5,5,5,5,5,4,5,3,3,4,3,0.73,1,1,0.8,0.67
19,"Unanswered","FI",1,2,2,5,5,4,2,2,2,4,5,4,5,4,4,0.33,0.93,0.4,0.87,0.87
36,"Female","US",3,1,5,4,5,3,5,4,3,5,4,5,3,4,4,0.6,0.8,0.8,0.93,0.73
21,"Unanswered","GB",2,4,4,5,5,5,5,5,3,4,2,2,5,5,4,0.67,1,0.87,0.53,0.93
21,"Unanswered","BE",3,3,5,5,5,5,5,5,3,3,5,5,5,5,5,0.73,1,0.87,0.87,1
13,"Female","GB",3,3,3,5,5,5,2,3,4,3,4,3,4,4,3,0.6,1,0.6,0.67,0.73
21,"Unanswered","US",3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,0.6,0.6,0.73,0.67,0.8
32,"Female","HR",4,5,5,1,3,1,4,4,5,5,5,5,3,5,3,0.93,0.33,0.87,1,0.73
33,"Unanswered","US",4,5,5,3,4,3,5,5,5,3,4,4,5,5,5,0.93,0.67,1,0.73,1
33,"Female","US",3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,0.73,0.53,0.8,0.8,0.8
16,"Female","GB",2,2,2,3,4,4,3,4,2,2,3,3,5,4,3,0.4,0.73,0.6,0.53,0.8
21,"Unanswered","BE",3,2,4,4,5,3,1,4,4,3,5,2,5,5,4,0.6,0.8,0.6,0.67,0.93
31,"Unanswered","NO",3,5,5,1,2,2,3,4,3,3,2,2,3,5,5,0.87,0.33,0.67,0.47,0.87
17,"Female","US",1,1,1,4,5,3,5,5,4,1,5,1,5,4,5,0.2,0.8,0.93,0.47,0.93
26,"Unanswered","GB",2,3,3,3,3,3,4,5,4,3,4,4,2,4,2,0.53,0.6,0.87,0.73,0.53
34,"Female","BE",4,3,4,5,5,4,5,5,5,4,5,4,5,5,5,0.73,0.93,1,0.87,1
21,"Unanswered","ZA",1,5,5,1,3,1,5,3,3,5,5,5,4,5,4,0.73,0.33,0.73,1,0.87
26,"Unanswered","US",5,5,3,1,1,1,5,2,4,4,4,4,4,5,4,0.87,0.2,0.73,0.8,0.87
22,"Unanswered","NO",2,3,4,1,2,1,3,3,5,5,4,2,4,3,3,0.6,0.27,0.73,0.73,0.67
19,"Unanswered","NO",1,2,2,5,5,4,4,5,3,2,4,2,4,3,3,0.33,0.93,0.8,0.53,0.67
19,"Female","FI",4,2,2,2,2,3,4,4,3,3,3,2,4,4,3,0.53,0.47,0.73,0.53,0.73
21,"Unanswered","US",4,5,5,3,3,4,5,5,4,3,4,3,5,5,5,0.93,0.67,0.93,0.67,1
49,"Female","BE",3,5,4,3,3,1,5,4,5,4,5,5,4,4,5,0.8,0.47,0.93,0.93,0.87
18,"Unanswered","US",3,4,5,4,4,3,5,5,5,4,5,4,5,5,5,0.8,0.73,1,0.87,1
32,"Unanswered","US",1,2,1,4,4,4,3,4,3,4,3,4,3,4,2,0.27,0.8,0.67,0.73,0.6
60,"Unanswered","US",1,5,5,4,4,4,5,5,5,2,5,5,5,5,5,0.73,0.8,1,0.8,1
22,"Unanswered","IE",1,2,3,5,5,5,4,4,5,2,4,2,5,5,3,0.4,1,0.87,0.53,0.87
24,"Female","PL",1,1,2,2,2,2,2,1,3,4,4,4,3,5,4,0.27,0.4,0.4,0.8,0.8
16,"Unanswered","BR",2,3,3,3,4,2,5,5,3,3,3,4,4,4,5,0.53,0.6,0.87,0.67,0.87
20,"Female","SK",2,2,3,4,4,3,3,2,3,3,3,2,4,4,4,0.47,0.73,0.53,0.53,0.8
47,"Unanswered","US",3,3,3,2,3,2,4,4,4,2,3,3,4,4,4,0.6,0.47,0.8,0.53,0.8
15,"Unanswered","US",2,2,3,5,4,2,3,3,3,4,4,4,3,5,3,0.47,0.73,0.6,0.8,0.73
17,"Unanswered","US",1,3,3,4,5,3,2,2,3,3,4,1,3,3,1,0.47,0.8,0.47,0.53,0.47
13,"Unanswered","US",5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,0.2,1,1,1
16,"Unanswered","HR",4,1,2,5,5,2,5,2,3,5,2,4,5,5,3,0.47,0.8,0.67,0.73,0.87
23,"Unanswered","SA",1,2,4,3,2,2,3,2,4,4,2,1,3,3,3,0.47,0.47,0.6,0.47,0.6
30,"Unanswered","US",5,5,5,3,3,1,5,5,5,4,3,3,4,4,5,1,0.47,1,0.67,0.87
17,"Unanswered","US",3,4,5,4,5,2,5,4,4,1,4,4,5,4,5,0.8,0.73,0.87,0.6,0.93
20,"Unanswered","US",2,3,3,4,4,3,4,4,4,4,3,4,4,3,3,0.53,0.73,0.8,0.73,0.67
25,"Female","US",2,2,4,4,5,4,4,4,2,4,4,4,5,4,4,0.53,0.87,0.67,0.8,0.87
27,"Female","BR",4,4,4,4,3,3,3,2,4,4,4,2,5,4,5,0.8,0.67,0.6,0.67,0.93
25,"Unanswered","US",1,2,2,4,4,2,4,4,3,5,5,5,4,4,3,0.33,0.67,0.73,1,0.73
21,"Unanswered","US",3,3,4,4,4,3,5,5,3,4,4,4,4,4,2,0.67,0.73,0.87,0.8,0.67
59,"Female","IE",1,4,4,1,2,2,4,4,3,3,2,4,5,3,5,0.6,0.33,0.73,0.6,0.87
30,"Unanswered","US",4,5,4,2,2,2,5,4,4,4,5,3,5,5,5,0.87,0.4,0.87,0.8,1
37,"Unanswered","US",5,5,5,1,3,5,3,2,5,1,1,3,1,5,5,1,0.6,0.67,0.33,0.73
27,"Unanswered","NZ",2,3,3,5,5,3,4,4,4,3,3,3,4,3,4,0.53,0.87,0.8,0.6,0.73
41,"Unanswered","US",2,3,2,4,4,4,4,4,3,5,5,5,3,4,3,0.47,0.8,0.73,1,0.67
18,"Female","GB",4,5,3,3,3,1,3,2,5,3,4,2,5,4,5,0.8,0.47,0.67,0.6,0.93
21,"Unanswered","US",3,3,4,5,5,4,4,5,4,2,4,2,4,3,4,0.67,0.93,0.87,0.53,0.73
15,"Unanswered","US",5,5,3,3,5,1,3,5,5,4,5,5,4,5,4,0.87,0.6,0.87,0.93,0.87
18,"Unanswered","BR",2,1,4,5,4,4,2,3,3,3,4,3,5,4,5,0.47,0.87,0.53,0.67,0.93
20,"Female","GB",4,5,5,1,4,1,5,5,4,3,4,2,4,4,4,0.93,0.4,0.93,0.6,0.8
35,"Female","US",5,5,5,1,5,1,5,5,5,4,4,5,5,5,5,1,0.47,1,0.87,1
24,"Unanswered","GB",2,2,3,4,4,3,3,3,2,1,3,1,4,3,3,0.47,0.73,0.53,0.33,0.67
33,"Unanswered","US",5,4,5,5,4,4,5,5,2,1,3,4,3,4,4,0.93,0.87,0.8,0.53,0.73
20,"Unanswered","PH",3,2,2,3,4,2,3,3,2,3,4,4,4,3,3,0.47,0.6,0.53,0.73,0.67
59,"Unanswered","US",1,4,4,2,1,2,4,4,4,4,4,2,3,4,3,0.6,0.33,0.8,0.67,0.67
19,"Unanswered","CA",5,5,5,4,5,2,3,3,4,2,4,3,5,3,4,1,0.73,0.67,0.6,0.8
26,"Female","BR",2,2,2,3,4,4,3,3,2,4,4,4,5,4,5,0.4,0.73,0.53,0.8,0.93
24,"Unanswered","CA",3,4,4,3,3,2,3,5,5,5,5,5,5,5,4,0.73,0.53,0.87,1,0.93
31,"Unanswered","US",5,5,5,4,4,4,5,5,5,3,3,3,5,5,5,1,0.8,1,0.6,1
30,"Unanswered","US",1,3,3,4,5,2,5,5,5,2,3,1,5,4,5,0.47,0.73,1,0.4,0.93
18,"Unanswered","US",1,2,2,4,5,4,3,2,2,4,5,3,4,3,3,0.33,0.87,0.47,0.8,0.67
24,"Unanswered","US",3,4,3,4,5,3,4,4,5,5,5,5,5,4,4,0.67,0.8,0.87,1,0.87
13,"Unanswered","US",4,5,4,2,3,2,5,5,4,4,5,4,5,5,5,0.87,0.47,0.93,0.87,1
19,"Unanswered","US",3,5,5,3,3,1,5,5,4,3,2,2,3,4,4,0.87,0.47,0.93,0.47,0.73
20,"Unanswered","US",2,2,2,5,5,3,2,2,4,4,4,2,4,4,4,0.4,0.87,0.53,0.67,0.8
13,"Unanswered","US",3,4,4,2,5,4,4,5,2,4,4,4,4,4,4,0.73,0.73,0.73,0.8,0.8
16,"Unanswered","US",4,3,5,4,2,3,2,3,3,1,2,1,4,3,5,0.8,0.6,0.53,0.27,0.8
17,"Unanswered","AU",1,5,5,1,4,3,5,5,5,2,5,1,5,5,1,0.73,0.53,1,0.53,0.73
27,"Unanswered","US",3,5,5,3,2,3,5,4,4,2,2,3,4,4,3,0.87,0.53,0.87,0.47,0.73
20,"Unanswered","US",1,4,4,4,4,2,4,4,4,2,3,4,5,4,4,0.6,0.67,0.8,0.6,0.87
44,"Unanswered","JP",2,3,4,4,2,4,4,5,4,2,2,4,3,4,3,0.6,0.67,0.87,0.53,0.67
21,"Unanswered","CA",4,4,4,4,4,4,4,4,4,3,2,2,3,3,2,0.8,0.8,0.8,0.47,0.53
21,"Unanswered","CA",3,4,5,3,4,4,5,4,4,5,4,4,3,5,4,0.8,0.73,0.87,0.87,0.8
23,"Female","IN",2,4,3,3,4,2,5,3,4,4,2,4,2,4,4,0.6,0.6,0.8,0.67,0.67
24,"Unanswered","US",1,1,3,5,5,5,2,4,5,4,5,4,5,4,5,0.33,1,0.73,0.87,0.93
39,"Female","CA",2,2,4,2,4,2,4,4,4,3,2,3,4,4,4,0.53,0.53,0.8,0.53,0.8
45,"Unanswered","US",1,2,2,4,4,3,5,4,2,4,5,3,3,5,4,0.33,0.73,0.73,0.8,0.8
45,"Unanswered","US",3,5,5,3,3,3,5,5,4,3,3,1,3,4,3,0.87,0.6,0.93,0.47,0.67
20,"Female","US",3,5,5,2,4,1,5,5,5,3,5,4,5,4,5,0.87,0.47,1,0.8,0.93
21,"Unanswered","US",2,2,3,5,5,4,3,4,3,3,4,5,5,3,4,0.47,0.93,0.67,0.8,0.8
23,"Unanswered","ID",2,3,2,3,3,2,4,4,4,5,4,5,5,4,4,0.47,0.53,0.8,0.93,0.87
23,"Unanswered","PH",2,5,4,4,5,4,5,5,5,5,4,5,5,5,5,0.73,0.87,1,0.93,1
22,"Unanswered","US",1,3,1,5,5,5,2,5,3,1,4,1,5,3,4,0.33,1,0.67,0.4,0.8
16,"Unanswered","US",4,5,5,4,4,4,5,4,5,3,4,4,4,5,5,0.93,0.8,0.93,0.73,0.93
20,"Female","AU",4,5,5,3,2,1,4,5,5,2,2,1,5,4,5,0.93,0.4,0.93,0.33,0.93
33,"Unanswered","IN",2,4,4,1,2,2,4,5,5,4,4,4,2,4,4,0.67,0.33,0.93,0.8,0.67
17,"Unanswered","AU",4,3,4,4,4,2,5,4,4,2,5,2,5,2,4,0.73,0.67,0.87,0.6,0.73
17,"Male","CA",1,3,2,3,4,3,4,3,3,3,4,4,5,4,5,0.4,0.67,0.67,0.73,0.93
20,"Unanswered","US",2,4,4,5,5,5,5,5,4,4,4,4,4,4,4,0.67,1,0.93,0.8,0.8
59,"Unanswered","US",1,3,1,1,1,1,4,3,4,1,2,1,5,3,4,0.33,0.2,0.73,0.27,0.8
25,"Female","CA",5,4,5,1,3,2,5,5,5,4,4,5,5,5,5,0.93,0.4,1,0.87,1
18,"Unanswered","AU",1,1,1,5,5,3,2,2,3,4,4,3,5,3,5,0.2,0.87,0.47,0.73,0.87
27,"Female","US",1,3,3,3,5,4,5,4,5,3,4,3,4,5,4,0.47,0.8,0.93,0.67,0.87
24,"Unanswered","CA",3,2,1,3,4,3,4,4,3,2,4,3,3,3,3,0.4,0.67,0.73,0.6,0.6
29,"Female","US",5,5,5,1,5,1,5,4,5,5,5,1,5,5,5,1,0.47,0.93,0.73,1
16,"Unanswered","US",2,3,3,1,2,1,3,2,5,5,4,4,4,3,4,0.53,0.27,0.67,0.87,0.73
29,"Female","US",2,3,4,2,4,2,4,5,3,3,4,4,4,4,4,0.6,0.53,0.8,0.73,0.8
33,"Unanswered","US",2,2,5,5,5,5,3,4,3,3,2,1,5,1,5,0.6,1,0.67,0.4,0.73
21,"Female","IN",4,4,2,3,4,2,4,4,2,3,4,3,4,5,4,0.67,0.6,0.67,0.67,0.87
26,"Female","US",3,4,4,4,4,3,4,4,4,4,4,3,5,4,4,0.73,0.73,0.8,0.73,0.87
21,"Female","IN",1,2,3,2,3,4,4,4,3,2,4,2,4,4,5,0.4,0.6,0.73,0.53,0.87
26,"Unanswered","IN",3,5,4,3,2,3,2,4,5,3,4,4,5,5,5,0.8,0.53,0.73,0.73,1
14,"Female","US",3,3,5,4,5,2,3,1,2,4,2,1,5,5,5,0.73,0.73,0.4,0.47,1
13,"Female","US",1,3,3,5,5,5,3,2,3,4,4,3,5,4,4,0.47,1,0.53,0.73,0.87
30,"Female","SE",4,5,5,1,1,1,5,5,5,5,5,1,5,5,5,0.93,0.2,1,0.73,1
27,"Female","US",3,2,4,5,5,4,4,4,4,2,4,3,4,5,4,0.6,0.93,0.8,0.6,0.87
17,"Female","US",2,2,3,5,5,4,4,4,1,2,4,3,5,5,5,0.47,0.93,0.6,0.6,1
17,"Unanswered","US",5,5,5,3,3,3,4,3,3,3,3,2,3,5,3,1,0.6,0.67,0.53,0.73
19,"Unanswered","AU",3,4,3,1,2,3,4,4,3,3,4,2,2,4,3,0.67,0.4,0.73,0.6,0.6
18,"Female","US",1,4,1,3,3,1,3,1,2,2,5,3,3,5,5,0.4,0.47,0.4,0.67,0.87
23,"Unanswered","MY",1,2,4,5,2,3,3,4,3,3,3,5,4,3,2,0.47,0.67,0.67,0.73,0.6
20,"Unanswered","IN",5,5,1,5,1,1,5,5,5,1,5,4,5,4,4,0.73,0.47,1,0.67,0.87
19,"Unanswered","MY",4,3,3,4,4,5,4,4,5,3,3,3,4,5,4,0.67,0.87,0.87,0.6,0.87
23,"Female","IN",4,4,4,1,3,2,4,5,4,3,4,4,4,4,4,0.8,0.4,0.87,0.73,0.8
14,"Female","US",1,3,1,2,3,3,2,1,3,3,5,3,5,4,5,0.33,0.53,0.4,0.73,0.93
18,"Female","IN",1,4,1,3,5,3,4,4,3,2,5,1,4,2,5,0.4,0.73,0.73,0.53,0.73
18,"Unanswered","US",4,5,5,1,1,1,5,4,5,2,2,1,5,3,3,0.93,0.2,0.93,0.33,0.73
16,"Female","KW",2,3,1,4,5,4,3,2,4,2,4,1,4,3,4,0.4,0.87,0.6,0.47,0.73
23,"Unanswered","OM",3,4,3,2,4,4,4,4,5,5,5,5,4,3,3,0.67,0.67,0.87,1,0.67
22,"Unanswered","IN",5,5,5,3,3,3,5,5,4,5,5,5,3,5,3,1,0.6,0.93,1,0.73
19,"Female","US",1,2,2,2,2,2,4,4,4,3,3,3,5,3,5,0.33,0.4,0.8,0.6,0.87
21,"Female","US",3,3,3,3,5,4,4,4,3,4,5,2,4,4,5,0.6,0.8,0.73,0.73,0.87
19,"Female","MY",1,1,1,5,5,5,1,3,3,3,3,2,5,3,1,0.2,1,0.47,0.53,0.6
14,"Female","AU",1,5,3,3,5,5,5,5,4,1,3,3,4,3,4,0.6,0.87,0.93,0.47,0.73
39,"Unanswered","AU",5,5,5,5,5,3,5,5,5,3,4,3,5,5,5,1,0.87,1,0.67,1
26,"Female","DK",1,2,1,1,5,1,3,5,1,3,5,3,5,1,3,0.27,0.47,0.6,0.73,0.6
48,"Female","GB",1,5,4,1,3,2,5,4,4,4,4,4,5,5,5,0.67,0.4,0.87,0.8,1
33,"Unanswered","NZ",1,2,4,3,4,4,3,2,2,3,4,4,3,4,3,0.47,0.73,0.47,0.73,0.67
20,"Female","ID",2,2,3,1,4,3,3,2,4,5,3,3,4,3,3,0.47,0.53,0.6,0.73,0.67
22,"Unanswered","DK",4,5,4,3,4,2,5,5,5,4,4,5,3,4,4,0.87,0.6,1,0.87,0.73
21,"Female","TR",1,5,2,3,5,1,1,1,1,5,5,5,3,5,3,0.53,0.6,0.2,1,0.73
29,"Unanswered","GB",1,4,2,4,5,4,2,2,2,5,5,4,4,2,3,0.47,0.87,0.4,0.93,0.6
43,"Female","AU",3,4,4,4,4,4,4,4,4,3,3,2,4,4,4,0.73,0.8,0.8,0.53,0.8
13,"Unanswered","SG",1,2,4,3,5,4,4,2,4,3,5,2,4,5,5,0.47,0.8,0.67,0.67,0.93
22,"Female","IN",2,2,5,1,4,5,3,5,4,3,3,3,2,4,4,0.6,0.67,0.8,0.6,0.67
23,"Unanswered","GB",4,3,4,3,5,5,5,5,4,5,5,3,5,2,3,0.73,0.87,0.93,0.87,0.67
24,"Female","LT",3,3,3,1,4,3,4,5,2,3,5,5,4,3,1,0.6,0.53,0.73,0.87,0.53
39,"Female","GB",2,2,2,4,5,4,4,5,3,5,5,4,5,4,5,0.4,0.87,0.8,0.93,0.93
29,"Unanswered","AU",4,3,5,4,5,1,5,5,4,4,5,3,5,4,5,0.8,0.67,0.93,0.8,0.93
39,"Female","IE",2,4,5,4,5,2,4,5,4,3,4,2,5,4,2,0.73,0.73,0.87,0.6,0.73
26,"Unanswered","US",2,2,2,4,4,4,2,4,3,2,4,2,2,2,2,0.4,0.8,0.6,0.53,0.4
17,"Unanswered","GB",4,3,4,5,5,5,5,4,4,3,5,1,5,5,5,0.73,1,0.87,0.6,1
18,"Unanswered","AU",5,5,5,4,5,4,5,5,4,3,4,3,3,4,3,1,0.87,0.93,0.67,0.67
17,"Unanswered","IL",3,4,4,3,3,3,4,2,4,5,2,1,4,4,5,0.73,0.6,0.67,0.53,0.87
26,"Unanswered","IN",5,5,5,1,3,5,5,3,3,5,5,4,3,5,3,1,0.6,0.73,0.93,0.73
17,"Female","GB",2,3,2,4,5,3,5,5,3,3,4,3,5,2,5,0.47,0.8,0.87,0.67,0.8
16,"Unanswered","GB",4,2,2,3,5,5,3,2,2,5,4,4,3,3,2,0.53,0.87,0.47,0.87,0.53
17,"Unanswered","GB",2,4,3,5,5,3,4,5,4,5,4,4,5,4,3,0.6,0.87,0.87,0.87,0.8
35,"Female","PL",3,5,3,1,1,4,4,2,3,4,2,2,4,5,5,0.73,0.4,0.6,0.53,0.93
39,"Unanswered","DE",1,2,2,4,4,3,4,4,4,4,4,4,2,4,3,0.33,0.73,0.8,0.8,0.6
18,"Unanswered","GB",2,2,2,3,4,3,3,3,3,2,4,3,5,3,4,0.4,0.67,0.6,0.6,0.8
29,"Unanswered","MY",2,2,2,3,3,4,3,4,3,4,2,4,2,4,3,0.4,0.67,0.67,0.67,0.6
15,"Unanswered","ID",1,1,3,5,3,5,1,4,4,2,3,1,5,5,5,0.33,0.87,0.6,0.4,1
